file,line,col,category,source,severity,is_silent
qtrader/core/resource_monitor.py,174,12,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,26,0,SILENT_FAILURE,"Name(id='ImportError', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,179,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,179,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,210,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,210,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,245,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,245,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,329,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,329,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,375,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,375,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,435,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,435,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,448,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,448,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,652,28,ASYNC_FAILURE,unawaited_task,MEDIUM,True
qtrader/core/orchestrator.py,664,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,664,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,612,16,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,612,16,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,662,24,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/orchestrator.py,662,24,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/global_orchestrator.py,146,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/core/global_orchestrator.py,146,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",HIGH,True
qtrader/security/jwt_auth.py,102,0,SILENT_FAILURE,"Name(id='ImportError', ctx=Load())",LOW,True
qtrader/security/jwt_auth.py,89,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",LOW,False
qtrader/security/middleware.py,40,4,SILENT_FAILURE,"Name(id='ValueError', ctx=Load())",LOW,True
qtrader/security/middleware.py,100,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",LOW,False
qtrader/features/store.py,54,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/features/store.py,54,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/features/store.py,93,12,BROAD_CATCH,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/features/store.py,93,12,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/features/store.py,153,12,BROAD_CATCH,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/features/store.py,153,12,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/features/store.py,244,12,BROAD_CATCH,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/features/store.py,244,12,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/features/registry.py,103,12,BROAD_CATCH,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/features/registry.py,103,12,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/meta/audit_logger.py,122,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/meta/audit_logger.py,122,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/meta/constraint_engine.py,70,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/meta/constraint_engine.py,70,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/backtest/integration.py,388,12,BROAD_CATCH,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/backtest/integration.py,388,12,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/backtest/engine.py,41,19,ASYNC_FAILURE,unawaited_task,MEDIUM,True
qtrader/backtest/engine.py,42,26,ASYNC_FAILURE,unawaited_task,MEDIUM,True
qtrader/backtest/tick_engine.py,14,0,SILENT_FAILURE,"Name(id='ImportError', ctx=Load())",LOW,True
qtrader/verification/replay_validator.py,138,8,SILENT_FAILURE,"Tuple(elts=[Name(id='TypeError', ctx=Load()), Name(id='ValueError', ctx=Load())], ctx=Load())",LOW,True
qtrader/system/pipeline_validator.py,62,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,False
qtrader/audit/replay_audit.py,90,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",LOW,False
qtrader/audit/regulatory_export.py,93,12,BROAD_CATCH,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/audit/regulatory_export.py,93,12,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/audit/exception_scanner.py,63,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/audit/exception_scanner.py,63,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/audit/exception_scanner.py,56,12,SILENT_FAILURE,"Name(id='ValueError', ctx=Load())",LOW,True
qtrader/audit/entropy_scanner.py,82,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/audit/entropy_scanner.py,82,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",LOW,True
qtrader/audit/audit_store.py,46,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",LOW,False
qtrader/audit/audit_store.py,87,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",LOW,False
qtrader/audit/audit_store.py,108,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",LOW,False
qtrader/audit/compliance_exporter.py,125,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",LOW,False
qtrader/ml/regime_detector.py,103,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,True
qtrader/ml/regime_detector.py,103,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",MEDIUM,True
qtrader/ml/regime_detector.py,137,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,False
qtrader/ml/regime_detector.py,181,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,False
qtrader/ml/regime_detector.py,269,8,BROAD_CATCH,"Name(id='Exception', ctx=Load())",MEDIUM,True
qtrader/ml/regime_detector.py,269,8,SILENT_FAILURE,"Name(id='Exception', ctx=Load())",MEDIUM,True
